,Photographer,Country,Story
223,Hugo Estenssoro,Bolivia,
224,David C. Nance,USA,"David C. Nance, born in Charlotte, North Carolina, worked as a photojournalist for the Charlotte Observer before joining the Houston Chronicle in 1965."
225,Pablo Bartholomew,India,
226,David Hume Kennerly,USA,
227,Krzysztof Niemiec,Poland,
228,Axel O. Carp,Germany,
229,David Valentine,South Africa,
230,Shadrack Nkomo,South Africa,
231,Michael O'Brien,USA,
232,John Edmund Lamb,Australia,
233,Klaus P. Siebahn,Germany,
234,Clive Limpkin,United Kingdom,
235,Hartmut Beifuss,Germany,
236,Albert Roosenburg,The Netherlands,
237,Tadeusz Trepanowski,Poland,
238,Stanley Forman,USA,
239,Jan Stappenbeld,The Netherlands,
240,Ben Blumers,The Netherlands,
241, Thai Khac Chuong,Vietnam,
242,Daniel Farrell,USA,
243,Andre Baranyi,Belgium,
244,Nico Koster,The Netherlands,
245,Peter Bregg,Canada,
246,Waltraud Raphael,Germany,
247,Frans Stoppelman,The Netherlands,
248,Peter Martens,The Netherlands,
249,Joco Znidarsic,Slovenia,
250,Vyacheslav Bobkov,Russia,
251,Ernest Cox Jr.,USA,
252,Hiroshi Nakanishi,Japan,
253,Kraipit Phanvut,USA,
254,William F. Wunsch,USA,
255,Greg Schneider,USA,
256,Neal Ulevich,USA,
257,Françoise Demulder,France,
258,Harry Cabluck,USA,
259,Harry Ormesher,United Kingdom,
260,Robert W. Madden,USA,
261,Bryan Wharton,United Kingdom,
262,Bob Aylott,United Kingdom,
263,Monte Fresco,United Kingdom,
264,Ernest Schworck,USA,
265,Hans Rauchensteiner,Germany,
266,Werner Rzehaczek,Germany,
267,Valery Koreshkov,Russia,
268,Yuri Belinsky,Russia,
269,Valdis Brauns,Latvia,
270,Christian Dehon,South Africa,
271,Sergey Vasiliev,Russia,"Sergey Vailiev has worked as a staff photographer for Vecherny Chelyabinsk, since the newspaper published its first issue in 1968. He is also the president of the Chelyabinsk Photo Club."
272,Vincent Mentzel,The Netherlands,
273,Susan McElhinney,USA,
274,John H. White,USA,
275,Ken Sakamoto,USA,
276,Hans Boeck,Austria,
277,Ute Mahler,Germany,
278,Juhan Kuus,South Africa,
279,Arne Jönsson,Sweden,
280,Yaacov Saar,Israel,"Yaacov Saar is an Israeli photographer. In 1981, he became the director of the photography department of the Israeli Government Press Office. "
281,Hugh Brendan McCann,United Kingdom,
282,Leslie Hammond,South Africa,
283,Richard M. Titley,USA,
284,Victor Durmanov,Russia,
285,Terry Phelan,Australia,
286,Vladimir Musaelyan,Russia,"Vladimir Musaelyan (Moscow, 1939) started his career as an amateur photographer, whilehe worked as a foreman at an aircraft building plant. The Russian press agency ITAR-TASS discovered his talent when he sent some of his photos to the magazine Sovetskoye Foto. In 1960, Musaelyan joined ITAR-TASS, where he still worked in 2012. For ITAR-TASS, he travelled all around the former Soviet Union. From 1969 to 1982, Musaelyan was also the personal photographer of Leonid Brezhnev, who was General Secretary of the Central Committee of the Communist Party of the Soviet Union (CPSU) between 1964 and 1982. After Brezhnev's death, Musaelyan also worked for the Russian Communist leaders Yuri Andropov and Konstantin Chernenko. "
287,Mike Moore,United Kingdom,
288,Hans Windeck,Germany,
289,Manfred Vollmer,Germany,
290,Peter Nosov,Russia,
291,Dieter Baumann,Germany,
292,Denis Thorpe,United Kingdom,
293,Cornelius Meffert,Germany,
294,John A. Varley,United Kingdom,
295,Pavel Melus,Not Specified,Not Specified
296,Frank Johnston,USA,
297,Valery Shustov,Russia,"Russian photojournalist Valery Shustov (1926-2006) worked briefly for the Sovinformbureau, before moving to its successor RIA Novosti."
298,Barry John Hartley,Australia,
299,Dirk Buwalda,The Netherlands,
300,Michael James Lloyd,United Kingdom,
301,David G. Mugar,USA,
302,Orlando Brito,Brazil,
303,Hans E. Wendt,USA,
304,Norman Y. Lono,Canada,
305,Rick McCarthy,USA,
306,John J. Casamento,Australia,
307,Russell McPhedran,Australia,
308,Sadayuki Mikami,Japan,
309,Wim Hofland,The Netherlands,
310,Ulrich Baumgarten,Germany,
311,David Burnett,USA,"David Burnett was born in Salt Lake City, Utah, 1946. He began working as a freelancer for Time, and later for Life magazine in the 1960s. After two years in Vietnam, and the demise of Life weekly, he joined the French photo agency Gamma, and subsequently, in 1975, co-founded Contact Press Images, in New York. Burnett's work for news magazines in Europe and the USA has included politics, sports, and portraiture as well as news. He has covered every Summer Olympic Games since 1984, as well as the 2002 Winter Games, and photographed every American President since John F. Kennedy.His awards include Magazine Photographer of the Year from the Pictures of the Year Competition, a World Press Photo of the Year, and the Robert Capa Gold Medal from the Overseas Press Club. He has produced photographic essays for Time, Fortune, Geo, Paris-Match and ESPN magazine. Burnett served previously on World Press Photo juries in 1997 and 1999, and taught at the Joop Swart Masterclass in 2007."
312,Terry Fincher,United Kingdom,
313,Floris Bergkamp,The Netherlands,
314,Richard Leman Olsenius,USA,
315,Leonid Evseevich Yakutin,Russia,"Leonid Yakutin (1940-2009) worked as a miner before becoming a photojournalist during his time in the navy. After graduating in journalism at Lvov Higher Military-Political Academy, he started working for several newspapers and magazines in the Soviet Union. Yakutin traveled to Vietnam and Afghanistan and many other countries around the world. His military background made him a specialist in photographing the army. He also provided the photos for Carey Scofield's landmark book Inside the Soviet Military (1991). Leonid Yakutin worked as the personal photographer for nearly all of Russia's ministers of defense between 1996 and 2007."
316,Donald Fontaine,USA,
317,Jahangir Razmi ,Iran,
318,Claus Bienfait,Germany,
319,Anatoly Bochinin,Russia,
320,Mark Foley,USA,
321,Charles Robinson,USA,
322,Lester J. Millman,USA,
323,Christopher Barham,United Kingdom,
324,Dmitri Donskoy,Russia,
325,Mike Wells,United Kingdom,
326,Wolfgang Lummer,Germany,
327,Andrew Hosie,United Kingdom,
328,Eric Piper,United Kingdom,
329,William Campbell,USA,
330,François Lochon,France,
331,Mirella Ricciardi,Kenya,
332,Alain Mingam,France,
333,George M. Wedding,USA,
334,Björn H. Larsson Ask,Sweden,
335,Lennart Isaksson,Sweden,
336,Rene Leveque,France,
337,Zvi Roger,Israel,
338,Werner Gartung,Germany,
339,Joseph Marquette,USA,
340,Gabriel Dominique Duval,France,
341,John Everett,USA,
342,Michel Lipchitz,France,
343,Wendy Watriss,USA,
344, Eduard Pesov & Vasily Yegorov,Russia,
345,Mike Hollist,United Kingdom,
346,Vladimir Rodionov,Russia,
347,Joseph Czarnesczky,Poland,
348,Fritz Pölking,Germany,
349,Stormi Lee Greener,USA,
350,Gary Friedman,USA,
351,Hans-Joachim Ellerbrock,Germany,
352,Clem Murray,USA,
353,Viktor Chernov,Russia,
354,Dieter Blum,Germany,
355,Douglas Kirkland,Canada,
356,Masahiko Ohki,Japan,
357,Victor Zagumyonnov,Russia,
358,Mikhail Shteinbach,Russia,
359,Makram Karim,Egypt,
360,Ron Edmonds,USA,
361,James G. Laragy,USA,
362,Manuel Pérez Barriopedro,Spain,
363,Sergei Kivrin,Russia,
364,Ronald Kuntz,USA,
365,Daniel Forster,Switzerland,
366,Dölf Preisig,Switzerland,
367,Christopher Steele-Perkins,United Kingdom,
368,Chuck Fishman,USA,
369,Randy Eli Grothe,USA,
370,A. Wildenberg,France,
371,David M. Rice-Evans,United Kingdom,
372,Olav Fjeld Hasselknippe,Norway,
373,Ole Lind,Denmark,
374,Alain Raffestin,USA,
375,Grey Villet,USA,
376,Neil McGahee,Not Specified,Not Specified
377,Robert Dear,United Kingdom,
378,Folke Hellberg,Sweden,
379,Theo Westenberger,USA,
380,Enrico Ferorelli,Italy,
381,Amos Ulrich Schliack,Germany,
382,James Long,USA,
383,Michael Melford,USA,
384,Robin Moyer,USA,
385,Jose Manuel Martos Sanchez,Spain,
386,James Bruce Dickman,USA,
387, Anonymous,Iran,
388,Martin Cleaver,United Kingdom,
389,Achim Bussler,Germany,
390,Eugen Zimmermann,Germany,
391,Vyacheslav Polunin,Russia,
392,Doug Pithey,South Africa,
393,Jim McLagan,South Africa,
394,John Bryson,USA,
395,Torbjörn Andersson,Sweden,
396,Donald Rypka,USA,
397,Roger Turesson,Sweden,"In 1983 he became a staff photographer at Expressen and was based in USA 1988-91. He covered the fall of the Soviet Union and the development in Russia 1991-1994.In 2002 Roger moved on to a freelance-career and was one of the founders of Moment Agency. He worked as a contributing photographer and also with workshops designated to develop photojournalism and picture editing in the tabloid format.In 2007 he was appointed head of the photo department at Dagens Nyheter, and since 2010 he has worked as staff photographer at the same newspaper.He has covered numerous world events, including the Gulf War, the conflicts in former Yugoslavia, Chechnya, Gaza, Kashmir, Iraq, Darfur, Lebanon and Syria.Throughout his career he has also worked on extensive photographic essays in his home community, documenting people in their daily lives.Turesson is a three-time winner of Picture of the Year in Sweden and has also been the recipient of Photographer of the Year. In 2013 he won Storyteller of the year in the Swedish Grand Prize for Journalism, and in 2014 The Documentary Prize from Arbetets Museum, Sweden.In 1997 he published ‘Monsun – Hongkong’, with Peter Kadhammar, and in 2007, ‘Dokument Stockholm’, with Jeppe Wikström."
398,Barromes Pytkowitcz,France,
399,Mihály Moldvay,Serbia,
400,Yuri Kaver,Russia,
401,Vladimir Chistyakov,Russia,
402,Thomas Pflaum,Germany,
403,Volker Kraemer,Germany,
404, Reza,Iran,"Reza is a philanthropist, idealist, humanist, architect, multimedia artist and photojournalist, primarily for National Geographic. He has traveled the world over the last 30 years bearing witness to war and peace.Reza is not just a photographer, though. He is committed to training women and children in visual media and communications to help them strive for a better life. He has developed training programs in refugee camps in Africa and the Middle East. In 2001, he founded the NGO Aina in Afghanistan to encourage media training, while continuing to produce incredible, original images from his travels for the international media.His most notable exhibitions around the world include: Crossed Destinies, War + Peace, One World One Tribe, Hope, Windows of the Soul and Soul of Coffee. A Fellow of the National Geographic Society and Senior Fellow of the Ashoka Foundation, Reza has been awarded numerous prizes: the World Press Photo Award, the Infinity Award and distinctions such as the title Doctor Honoris Causa by the American University of Paris, the Medal of Honour from the University of Missouri and the Medal of Chevalier de l'ordre national du Mérite by the French State.Reza lives in Paris and is the author of 27 books."
